STAR 01_OSC.jpg,STAR 01_OSC_GT.tif,STAR 01_OSC_Mask.tif
STAR 02_ODC.jpg,STAR 02_ODC_GT.tif,STAR 02_ODC_Mask.tif
STAR 03_OSN.jpg,STAR 03_OSN_GT.tif,STAR 03_OSN_Mask.tif
STAR 05_ODC.jpg,STAR 05_ODC_GT.tif,STAR 05_ODC_Mask.tif
STAR 06_ODN.jpg,STAR 06_ODN_GT.tif,STAR 06_ODN_Mask.tif
STAR 08_OSN.jpg,STAR 08_OSN_GT.tif,STAR 08_OSN_Mask.tif
STAR 09_OSN.jpg,STAR 09_OSN_GT.tif,STAR 09_OSN_Mask.tif
STAR 10_OSN.jpg,STAR 10_OSN_GT.tif,STAR 10_OSN_Mask.tif
STAR 13_OSN.jpg,STAR 13_OSN_GT.tif,STAR 13_OSN_Mask.tif
STAR 15_OSN.jpg,STAR 15_OSN_GT.tif,STAR 15_OSN_Mask.tif
STAR 16_OSN.jpg,STAR 16_OSN_GT.tif,STAR 16_OSN_Mask.tif
STAR 17_ODN.jpg,STAR 17_ODN_GT.tif,STAR 17_ODN_Mask.tif
STAR 20_ODC.jpg,STAR 20_ODC_GT.tif,STAR 20_ODC_Mask.tif
STAR 21_OSC.jpg,STAR 21_OSC_GT.tif,STAR 21_OSC_Mask.tif
STAR 24_OSC.jpg,STAR 24_OSC_GT.tif,STAR 24_OSC_Mask.tif
STAR 26_ODC.jpg,STAR 26_ODC_GT.tif,STAR 26_ODC_Mask.tif
STAR 28_ODN.jpg,STAR 28_ODN_GT.tif,STAR 28_ODN_Mask.tif
STAR 30_ODC.jpg,STAR 30_ODC_GT.tif,STAR 30_ODC_Mask.tif
STAR 31_ODN.jpg,STAR 31_ODN_GT.tif,STAR 31_ODN_Mask.tif
STAR 32_ODC.jpg,STAR 32_ODC_GT.tif,STAR 32_ODC_Mask.tif